,X600519.SH,X000858.SZ,X600276.SH,X002475.SZ,X003816.SZ,X002415.SZ,X000651.SZ,X600690.SH,X600809.SH,X000568.SZ,X002371.SZ,X600104.SH,X000725.SZ,X600031.SH,X002304.SZ,X000625.SZ,X000063.SZ,X000338.SZ,X300124.SZ,X000596.SZ,X002179.SZ,X000100.SZ,X002241.SZ,X300014.SZ,X600089.SH,X002463.SZ,X600372.SH,X000157.SZ,X600584.SH,X600703.SH,X002028.SZ,X600066.SH,X000977.SZ,X600741.SH,X600418.SH,X002236.SZ,X600183.SH,X600522.SH,X002049.SZ,X601877.SH,X000800.SZ,X600177.SH,X002180.SZ,X000921.SZ,X002294.SZ,X000661.SZ,X601799.SH,X002074.SZ,X002223.SZ,X002129.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.221235899851075,0,0,0,0,0,0,0.0675861146180997,0.116254186232486,0,0,0,0,0,0,0,0.0324626419311266,0,0.0942516996386347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00615597177149379,0,0,0,0,0,-0.0495428467254555,0,0,-0.00970833994108597,0,0,0,0,-0.0613021030281694,0,0,0,0.0239452267993054,0,0
X000858.SZ,0.414438492472138,0,0,0,0,0,0,0,0.0604042571422571,0.105650179799554,0,0,0,0.062647950205176,0,0,0,0,0,0.10507663515716,0,0,0,0,0,0,0,0,0,0,0,-0.035969176843001,0,0.0680524120368571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0691921561045536,0,0,0,0.0454433338997282,0,0,0,0.027600822674209,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0.00493792327785754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.064411610291323,0,0,0,0,0,0.0670078280304557,0.272864986989416,0,0,0,0,0,-0.0374742355971539,0,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.190800006843415,0,0,0.14417673085202,0,0,0.137054944646873,0,0,0.0276935169741168,6.93889390390723e-18,0,0.0158652292789913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.018266732802121,0,0,0,0,-4.74770416957438e-05,0,0
X003816.SZ,0,0,0,0,0,0,0,0,-0.0428237639418131,0,0,0,-0.0986690262372572,0,0,0,0,0,-0.10540360161184,0,0,0,0,0,0,-0.0476108676674273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.404325070235891,0,0.046674438451996,0,0,0,0,-0.00475762070585026,0,0
X002415.SZ,0,0,0,0,0,0,0,0.0665973680553834,-0.00957465877994648,0,0,0,0,0,0,0,0,0,0,0,0.0480043110417642,0.271496940289286,0,0,0,0,0,0,0,0,0,0,0,0,0.0310904238366438,0.0522795077533754,0,0,0.119780951222989,0.0572019002572878,0,0,0,0,0.0132996902960903,0,0.0246749876310526,-0.115293376805831,0,0,0,0,0,0,0,0,0.0212099394424745,0,0
X000651.SZ,0,0,0,0,0,0,0,0.0712216505852987,0,0,0,0,0,0,0,0,0,0.0327450641226364,0,0.0404041540512562,0,0,0,0,0,0,0,0,0,0,0,0.0566506350113469,0,0,0,0,0,0,0,0,0,0,0,0.126376184115381,0,0,0,-0.0555815999104977,0,0,0,0,-0.00214145912662532,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,0,0.406172544524681,0,0,0,0,0,0.0667458808175663,0.20252305847073,0,0,0,0.0204688809967992,-0.0153376539744287,0,0,0,0,0,0,0.121255430528885,0,0,0,0,0,0,0,0,0.084312156225021,0,0,0.0171111367808086,0,0,0,0,0,0.0682156998678129,-0.0196837414102223,0,0,0,0,0,0,0,-0.0194466872246777,0,0,0,-0.00920131260012392,0,0
X600809.SH,0,0,0,0,0.00580610652569114,0,0,0.0424613238122451,0,0,0.200975322746301,0,0,0,0,0,0,0.0895751931290792,0,0.454007992419259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00312934620048405,0,0,0,0,0,0,0,0,0,0,0,0,-0.0593584613791069,0,0,0,0,0,0,0,0,0.0103888281913629,0,0
X000568.SZ,0.597047950307219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.260404312918769,0,0,0,0,0,0,0,0.0341099896803741,0,0,0,0,0,0,0,0,-0.0549574181917572,0,0,0,0,0,0,0,0,0.0310237870224487,0,0,0,0,0,0,-0.00400911184460866,-0.0416276443448258,0,0,0.00604191716065714,0,0
X002371.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0800318707723464,0,-0.0504048870449557,0,0,0,0,0,0,0,0,0,0,0,0,0.282422658771711,0,0,0.12892555397723,0,0,0.0375493904786494,0,0,0.0984176520777428,0.0619224439704248,0,0,0,0,-0.166277275954198,0,0,0,0,0,0,0,8.67361737988404e-19,0.00819131521339301,0.0141770545979469,0,0,0.0206075134343879,0,0
X600104.SH,0,0,0,0,0,0,0,0.0702305991202793,0,0,0,0,0,0.153895324993521,0,0,0,0,0.0515644014087033,0.0191314045470798,0,0,0,-0.0260828859434487,0,-0.0346720221398689,0,0,0,0,0,0,0,0.0808863050197146,0,0,0,0,0,0,0,0,0.117519340877028,0,0,0,0.0203137442094747,0,0,0.0170073483587198,0,0,0.00265113335110259,0,0,0,-0.0194286030291973,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.502643366400439,0.0180025337575417,0,0,0,0,0.0467796140681838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0940853945672881,0,-0.00220846704600237,0,0,0,0,0,0,-0.00788286159939783,0,0,0,0,0,0,0
X600031.SH,0,0,0,0,-0.158271612737685,0,0,0,0,0,0,0,0,0,0,0,0,0.206636871429048,0,0,0,0.144571233760223,0,0.00594910014025667,0,-0.0641323237893522,0,0.122354878415209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010650741079785,0,0,0,0,0.0452075223068915,0,-0.056018745179452,-0.129017861004858,0,-0.00248433237048786,0,0,0,0,0
