,X600519.SH,X000858.SZ,X600276.SH,X002415.SZ,X002475.SZ,X600690.SH,X600809.SH,X000651.SZ,X600104.SH,X002371.SZ,X000568.SZ,X003816.SZ,X000725.SZ,X300124.SZ,X000063.SZ,X600031.SH,X000625.SZ,X002304.SZ,X000338.SZ,X300014.SZ,X000596.SZ,X000100.SZ,X600418.SH,X002179.SZ,X002241.SZ,X000977.SZ,X002463.SZ,X600089.SH,X600584.SH,X600703.SH,X000157.SZ,X600372.SH,X002028.SZ,X000066.SZ,X600741.SH,X002049.SZ,X600522.SH,X002236.SZ,X600839.SH,X600183.SH,X002456.SZ,X601877.SH,X600066.SH,X600460.SH,X002156.SZ,X002074.SZ,X000661.SZ,X000800.SZ,X600487.SH,X002129.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.349195080217892,0,0,0,0,0.0395436284824631,0,0,0,0,0,0,0,0,0,0,0.151222322207577,0,0.00598183504807303,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0024027980623523,0,0,0,0,0,0,0,0,0,-0.0277887791845958,0,0,0,0,0,0,0,0,-0.0473407625857507,0,0,0,-0.0508330098814086,0,0
X000858.SZ,0.0788353441986286,0,0,0,0,0,0.323474768182925,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0.210469155494871,0.128315673116193,0,0.0321443067368263,0,0,0,0,0,0,0,0,0,0.0306380257215531,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0876991630281521,0,0,0,0,0,0,0.219164951393106,0,0,0.31828636774952,0,0,0,0,0,0,0,0,0,0.00122624143463719,0,0,0,0,0,0,0,0,0,0,0,0,0.0842682102681813,0,0,0,0,0,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0.0983411558575401,0.00401410523338212,0,0,0,0,0,0,0,0,0,0,0,0.0447071209842927,0.26597120720283,0.0834533790969512,0,0,0,0,0,0,0,0,0,0,0,0,0.0518563082996246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0575763040412779,0,0,0,0,-0.0166095982848728,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.113018745011989,0,0,0,0,0,0.0419787399235098,0,0,-0.00376496237862734,0.0514042635441655,0.444851934152109,0.0490098451378935,0.0911613791697261,0,0,0,0,0,0,-0.0129179945188902,0,-0.032378602439748,0,0,0.0586795067511137,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0791306505761592,0,0,0,4.33680868994202e-19,0,0
X600690.SH,0,0,0,0,0.0422428335394035,0,0.0779711632438005,0.29155073452707,0,0,0,0,0,0,0,0.101508430474167,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0.00113603436013032,0,0,0,0,0,0,0,0,0,0,0,0,0.0218875933189688,0.0717262917480898,0,0,0,-0.00861267260968887,0,0,0,0,0,0,0,0,0,0,0,0.0419009817734465,0,0
X600809.SH,0,0,0,0,0,0,0,0,0.00200443827822031,0,0.637748529090182,0,0,0,0,0,0,0,0,0.01416753767178,0.230104222982874,0,0.0202772396833632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00303019468922503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0.345637011761484,0,0,0.113544595985191,0,0,0,0,0,0,0,0,0.172754261338342,0,0,0,0,0,0.0359005114784982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0560022339084866,-0.0453509507445399,0,0,0,0,0,0,0,0,0,0,0,0,0.0199077489115198,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0.251003188976359,0,0,0.074505336981996,0,0,0.0717188414011068,0.0803683235889487,0,0.0295579018568805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.107898250990968,0,0,0,0,0.0224026188933651,0,0,0,0,0,0,0,0,0,0
X002371.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.420268332780535,0,0,0,0,0,0.0221085329817221,0,0,0,0,0,0.119934912148902,0.0462099454140536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.135234145080045,0,0,0,0,0,0,0,0,0,0,0,0,0,0
