,X600519.SH,X000858.SZ,X600276.SH,X002475.SZ,X002415.SZ,X600690.SH,X600809.SH,X000651.SZ,X002371.SZ,X000568.SZ,X600104.SH,X003816.SZ,X300124.SZ,X000725.SZ,X000063.SZ,X600031.SH,X000625.SZ,X002304.SZ,X000338.SZ,X000596.SZ,X300014.SZ,X000100.SZ,X002241.SZ,X002179.SZ,X600418.SH,X002463.SZ,X000977.SZ,X600584.SH,X600089.SH,X600703.SH,X000157.SZ,X600372.SH,X002028.SZ,X002236.SZ,X002049.SZ,X600183.SH,X600741.SH,X000066.SZ,X600522.SH,X600066.SH,X600839.SH,X601877.SH,X600460.SH,X002456.SZ,X002156.SZ,X600487.SH,X000661.SZ,X000800.SZ,X002085.SZ,X002074.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.170263943131888,0,0,0,0,0.161131669027188,0,0,0,0,0,0,0,0,0,0,0.219521772245637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0169222756144877,0,0,0,0,0,0,0,-0.019489674904482,0,0,0,0,-0.063834453503713,0,0
X000858.SZ,0.12687112828805,0,0,0,0,0,0.293077760417473,0,0,0.0554907949232025,0.0462843507358076,0,0,0,0,0,0.0289226923556284,0.203291076104996,0,0,0,0,0,0,0,0,0,0,0,0,0.102105796537329,0,0,0,0,0,0,0,0,0.01890954151627,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101285492876374,0.195202555231873,0.149229169394982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0685410274716959,0,0.155037722865036,-0.0565418666182505,0,0,0.00818618037258092,0,0,0.0306104065244649,0,0,0,0,0.0105664767091807,0,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.0525415499885189,0,0,0,0,0,0,0,0.0274686836336027,0,0.377157381981472,0.138778770679026,0,0.0585315173529346,0,0,0,0,0,0,0,0,0,0.142246181934596,0,-0.0318036169349978,0,0,0.0714924629777664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0.149980458792116,0,0,0,0,0,0,0,0.153004861558834,0.0599545017090008,0,0,0,0,0.168063465042164,0,0,0,0,0.0599663750986228,0,0,0,0,0,0,0,0,0,0.0641666797092619,0,0.00135948751586458,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.034481260700318,0,0,0,0,-0.0470675276092975,0,0
X600690.SH,0,0,0,0.0318055376948262,0,0,0.0680989468218677,0.350174734326264,0,6.93889390390723e-18,0,0,0,0,0,0.12134380906653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0204773912647699,0,0,0,0,0,0.0750595996921122,-0.00214751352021026,0,0,0,0,0,0,-0.0291231986091233,0,0,0,0,0.0429340633030066,0,0
X600809.SH,0,0.0506024609481614,0,0,0,0,0,0,0,0.522872356503233,4.33680868994202e-19,0,-3.46944695195361e-18,0,0,0,0,0,0,0.270986186822997,0.00505552973855127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0.00478333652258852,0,0.344261348655832,0,0,0,0,0.0123868574380296,0.0589853559372552,0,0,0,0,0,0.142057165555272,0,0,-1.73472347597681e-18,0,0,0.0301334693712699,-0.0528240076497067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.179822690227982,0,0,-0.0245980386569756,0,0,0,0,0,0,0,0,-0.00394116872785325,0,0,0,0,-0.0014445837664789,0,0
X002371.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.373794812842095,0,0,0,0,0,0,0,0.0340512418494545,0,0,0,0,0,0.331527571825048,0,0,0,0,0,0,0,0.00536198720466652,0,0,0,0,0,0,0,0,-0.0979954230351406,0.0644694680475677,0,0,0,0.0997347938350473,0,0,0,0,0,0,0,0,0,0
X000568.SZ,0,0.404602774368613,0,0,0,0,0.28301235889481,0,0,0,0,0,0,0,0,0,0,0.0294574923529017,0,0.0855817569411577,0.0328188860278037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.060587842188761,0,0,0,0,0,0,0.0120413545368849,0,0,0,0,-0.0112955348611263,0,0,0,0,-0.0178972729158295,0,0
